"NB_MUNICIPIO","SG_UNIDADE_FEDERACAO"
"Acrelândia - AC","AC"
"Assis Brasil - AC","AC"
"Brasiléia - AC","AC"
"Bujari - AC","AC"
"Capixaba - AC","AC"
"Cruzeiro do Sul - AC","AC"
"Epitaciolândia - AC","AC"
"Feijó - AC","AC"
"Jordão - AC","AC"
"Mâncio Lima - AC","AC"
"Manoel Urbano - AC","AC"
"Marechal Thaumaturgo - AC","AC"
"Plácido de Castro - AC","AC"
"Porto Acre - AC","AC"
"Porto Walter - AC","AC"
"Rio Branco - AC","AC"
"Rodrigues Alves - AC","AC"
"Santa Rosa do Purus - AC","AC"
"Sena Madureira - AC","AC"
"Senador Guiomard - AC","AC"
"Tarauacá - AC","AC"
"Xapuri - AC","AC"
"Água Branca - AL","AL"
"Anadia - AL","AL"
"Arapiraca - AL","AL"
"Atalaia - AL","AL"
"Barra de Santo Antônio - AL","AL"
"Barra de São Miguel - AL","AL"
"Batalha - AL","AL"
"Belém - AL","AL"
"Belo Monte - AL","AL"
"Boca da Mata - AL","AL"
"Branquinha - AL","AL"
"Cacimbinhas - AL","AL"
"Cajueiro - AL","AL"
"Campestre - AL","AL"
"Campo Alegre - AL","AL"
"Campo Grande - AL","AL"
"Canapi - AL","AL"
"Capela - AL","AL"
"Carneiros - AL","AL"
"Chã Preta - AL","AL"
"Coité do Nóia - AL","AL"
"Colônia Leopoldina - AL","AL"
"Coqueiro Seco - AL","AL"
"Coruripe - AL","AL"
"Craíbas - AL","AL"
"Delmiro Gouveia - AL","AL"
"Dois Riachos - AL","AL"
"Estrela de Alagoas - AL","AL"
"Feira Grande - AL","AL"
"Feliz Deserto - AL","AL"
"Flexeiras - AL","AL"
"Girau do Ponciano - AL","AL"
"Ibateguara - AL","AL"
"Igaci - AL","AL"
"Igreja Nova - AL","AL"
"Inhapi - AL","AL"
"Jacaré dos Homens - AL","AL"
"Jacuípe - AL","AL"
"Japaratinga - AL","AL"
"Jaramataia - AL","AL"
"Jequiá da Praia - AL","AL"
"Joaquim Gomes - AL","AL"
"Jundiá - AL","AL"
"Junqueiro - AL","AL"
"Lagoa da Canoa - AL","AL"
"Limoeiro de Anadia - AL","AL"
"Maceió - AL","AL"
"Major Isidoro - AL","AL"
"Mar Vermelho - AL","AL"
"Maragogi - AL","AL"
"Maravilha - AL","AL"
"Marechal Deodoro - AL","AL"
"Maribondo - AL","AL"
"Mata Grande - AL","AL"
"Matriz de Camaragibe - AL","AL"
"Messias - AL","AL"
"Minador do Negrão - AL","AL"
"Monteirópolis - AL","AL"
"Murici - AL","AL"
"Novo Lino - AL","AL"
"Olho d'Água das Flores - AL","AL"
"Olho d'Água do Casado - AL","AL"
"Olho d'Água Grande - AL","AL"
"Olivença - AL","AL"
"Ouro Branco - AL","AL"
"Palestina - AL","AL"
"Palmeira dos Índios - AL","AL"
"Pão de Açúcar - AL","AL"
"Pariconha - AL","AL"
"Paripueira - AL","AL"
"Passo de Camaragibe - AL","AL"
"Paulo Jacinto - AL","AL"
"Penedo - AL","AL"
"Piaçabuçu - AL","AL"
"Pilar - AL","AL"
"Pindoba - AL","AL"
"Piranhas - AL","AL"
"Poço das Trincheiras - AL","AL"
"Porto Calvo - AL","AL"
"Porto de Pedras - AL","AL"
"Porto Real do Colégio - AL","AL"
"Quebrangulo - AL","AL"
"Rio Largo - AL","AL"
"Roteiro - AL","AL"
"Santa Luzia do Norte - AL","AL"
"Santana do Ipanema - AL","AL"
"Santana do Mundaú - AL","AL"
"São Brás - AL","AL"
"São José da Laje - AL","AL"
"São José da Tapera - AL","AL"
"São Luís do Quitunde - AL","AL"
"São Miguel dos Campos - AL","AL"
"São Miguel dos Milagres - AL","AL"
"São Sebastião - AL","AL"
"Satuba - AL","AL"
"Senador Rui Palmeira - AL","AL"
"Tanque d'Arca - AL","AL"
"Taquarana - AL","AL"
"Teotônio Vilela - AL","AL"
"Traipu - AL","AL"
"União dos Palmares - AL","AL"
"Viçosa - AL","AL"
"Alvarães - AM","AM"
"Amaturá - AM","AM"
"Anamã - AM","AM"
