COD_MUNICIPIO	NOME	FK_SIGLA_UF	POPULACAO_MUNICIPIO	COD_IBGE
1	Acrelândia	AC	7935	1200013
2	Assis Brasil	AC	3490	1200054
3	Brasiléia	AC	17013	1200104
4	Bujari	AC	5826	1200138
5	Capixaba	AC	5206	1200179
6	Cruzeiro do Sul	AC	67441	1200203
7	Epitaciolândia	AC	11028	1200252
8	Feijó	AC	26722	1200302
9	Jordão	AC	4454	1200328
10	Mâncio Lima	AC	11095	1200336
11	Manoel Urbano	AC	6374	1200344
12	Marechal Thaumaturgo	AC	8295	1200351
13	Plácido de Castro	AC	15172	1200385
14	Porto Acre	AC	11418	1200807
15	Porto Walter	AC	5485	1200393
16	Rio Branco	AC	253059	1200401
17	Rodrigues Alves	AC	8093	1200427
18	Santa Rosa do Purus	AC	2246	1200435
19	Sena Madureira	AC	29420	1200500
20	Senador Guiomard	AC	19761	1200450
21	Tarauacá	AC	26037	1200609
22	Xapuri	AC	11956	1200708
23	Água Branca	AL	18660	2700102
24	Anadia	AL	17849	2700201
25	Arapiraca	AL	186466	2700300
26	Atalaia	AL	40552	2700409
27	Barra de Santo Antônio	AL	11351	2700508
28	Barra de São Miguel	AL	6379	2700607
29	Batalha	AL	14799	2700706
30	Belém	AL	5919	2700805
31	Belo Monte	AL	6822	2700904
32	Boca da Mata	AL	24227	2701001
33	Branquinha	AL	11325	2701100
34	Cacimbinhas	AL	9552	2701209
35	Cajueiro	AL	18975	2701308
36	Campestre	AL	6223	2701357
37	Campo Alegre	AL	41028	2701407
38	Campo Grande	AL	9134	2701506
39	Canapi	AL	17334	2701605
40	Capela	AL	18693	2701704
41	Carneiros	AL	6585	2701803
42	Chã Preta	AL	7760	2701902
43	Coité do Nóia	AL	11993	2702009
44	Colônia Leopoldina	AL	17493	2702108
45	Coqueiro Seco	AL	5134	2702207
46	Coruripe	AL	48846	2702306
47	Craíbas	AL	20789	2702355
48	Delmiro Gouveia	AL	42995	2702405
49	Dois Riachos	AL	11066	2702504
50	Estrela de Alagoas	AL	16341	2702553
51	Feira Grande	AL	21270	2702603
52	Feliz Deserto	AL	3836	2702702
53	Flexeiras	AL	11979	2702801
54	Girau do Ponciano	AL	29574	2702900
